,id,createdtime,username,tweets
54,1.41E+18,20-06-2021 14:23,mbilal033,welcome pindi express let  rock cryptocurrency and block chain
55,1.41E+18,20-06-2021 11:23,mbilal033,let  welcome to our hero our proud    to first cricket market place
56,1.41E+18,20-06-2021 09:29,arsoo333,glad to hear that
57,1.41E+18,20-06-2021 08:39,muneem067,subscribe it
58,1.41E+18,20-06-2021 08:19,silwarsnake1,follow me  amp  follow back
59,1.41E+18,20-06-2021 06:57,ibad700,shoaib akhtar the proud of pakistan and pakistan cricket team due to his excellent speed of bowling  wor
60,1.41E+18,20-06-2021 06:54,Shafy51490133,shoaib akhtar is the world best fast baller from pakistan   we love you shoai
61,1.41E+18,20-06-2021 06:53,Shafy51490133,shoaib akhtar the proud of pakistan and pakistan cricket team due to his exce
62,1.41E+18,20-06-2021 06:32,NomanIq80072195,welcome the pacer and superstar of pakistan on crypto platform
63,1.41E+18,20-06-2021 05:46,PizaraHk,speedmaster shoaib akhtar to launch his own nft
64,1.41E+18,20-06-2021 04:26,MuzammilRajpt,welcome to the world of crypto     lots of love and respect
65,1.41E+18,20-06-2021 03:54,Ghazal37556537,welcome to the world of crypto     lots of love and respect  binance
66,1.41E+18,20-06-2021 03:50,MKashif74614913,here coming    man introduce fastest speed bowling to the world
67,1.41E+18,19-06-2021 22:13,ayyzeee7,great news  we are all going to the moon
68,1.41E+18,19-06-2021 21:52,ayyzeee7,keep hodling   bullish week is about to start
69,1.41E+18,19-06-2021 21:21,Awaiskh21735713,shoaib akhtar we are with you big love and support
70,1.41E+18,19-06-2021 21:07,9m38500115,pakistan  proud pakistan  love  world fast bowler
